run_id,example,seed,status,exit_code,duration_sec,metric_name,metric_value,metric_threshold,gate_pass,schema_gate_pass
20260218T145032Z_track_b,01_minimal,7,ok,0,114.47,heldout_addition_acc,0.1236,,True,True
20260218T145032Z_track_b,01_minimal,42,ok,0,103.19,heldout_addition_acc,0.111,,True,True
20260218T145032Z_track_b,01_minimal,123,ok,0,104.57,heldout_addition_acc,0.111,,True,True
20260218T145032Z_track_b,02_coins,7,ok,0,2.92,test_acc,0.5,,True,True
20260218T145032Z_track_b,02_coins,42,ok,0,2.84,test_acc,0.5,,True,True
20260218T145032Z_track_b,02_coins,123,ok,0,3.0,test_acc,0.25,,True,True
20260218T145032Z_track_b,03_mnist_multidigit,7,ok,0,54.55,eval_joint_proxy,0.5,,True,True
20260218T145032Z_track_b,03_mnist_multidigit,42,ok,0,52.06,eval_joint_proxy,0.5098,,True,True
20260218T145032Z_track_b,03_mnist_multidigit,123,ok,0,50.12,eval_joint_proxy,0.4817,,True,True
20260218T145032Z_track_b,04_hwf,7,ok,0,4.34,eval_acc,0.84,,True,True
20260218T145032Z_track_b,04_hwf,42,ok,0,4.34,eval_acc,0.88,,True,True
20260218T145032Z_track_b,04_hwf,123,ok,0,4.02,eval_acc,0.88,,True,True
20260218T145032Z_track_b,05_poker,7,ok,0,202.63,eval_joint_proxy,0.1684,,True,True
20260218T145032Z_track_b,05_poker,42,ok,0,221.44,eval_joint_proxy,0.1913,,True,True
20260218T145032Z_track_b,05_poker,123,ok,0,207.4,eval_joint_proxy,0.1709,,True,True
20260218T145032Z_track_b,06_clutrr,7,ok,0,28.53,eval_acc,0.6994,,True,True
20260218T145032Z_track_b,06_clutrr,42,ok,0,30.44,eval_acc,0.6908,,True,True
20260218T145032Z_track_b,06_clutrr,123,ok,0,29.85,eval_acc,0.6821,,True,True
